ACCIPITRIFORMES,AEGOTHELIFORMES,ANSERIFORMES,APODIFORMES,APTERYGIFORMES,BUCEROTIFORMES,CAPRIMULGIFORMES,CARIAMIFORMES,CASUARIIFORMES,CATHARTIFORMES,CHARADRIIFORMES,CICONIIFORMES,COLIIFORMES,COLUMBIFORMES,CORACIIFORMES,CUCULIFORMES,EURYPYGIFORMES,FALCONIFORMES,GALBULIFORMES,GALLIFORMES,GAVIIFORMES,GRUIFORMES,LEPTOSOMIFORMES,MESITORNITHIFORMES,MUSOPHAGIFORMES,NYCTIBIIFORMES,OPISTHOCOMIFORMES,OTIDIFORMES,PASSERIFORMES,PELECANIFORMES,PHAETHONTIFORMES,PHOENICOPTERIFORMES,PICIFORMES,PODARGIFORMES,PODICIPEDIFORMES,PSITTACIFORMES,PROCELLARIIFORMES,PTEROCLIFORMES,RHEIFORMES,SPHENISCIFORMES,STEATORNITHIFORMES,STRIGIFORMES,STRUTHIONIFORMES,SULIFORMES,TINAMIFORMES,TROGONIFORMES,OTHER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paramythiidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pardalotidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parulidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passerellidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passeridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pellorneidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petroicidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peucedramidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phaenicophilidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philepittidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylloscopidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Picathartidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pittidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pityriasidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platylophidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platysteiridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ploceidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pnoepygidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polioptilidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomatostomidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promeropidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prunellidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psophodidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ptiliogonatidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ptilonorhynchidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pycnonotidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regulidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remizidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhagologidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhinocryptidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhipiduridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhodinocichlidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salpornithidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapayoidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scotocercidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sittidae,,,,,,,,,,,,,,,,,,
